飽きる,あき
開ける,あける
開けた,あけた
明ける,あける
朝日,あさひ
明日,あした
遊ぶ,あそぶ
後で,あとで
あの世,あのよ
洗う,あらう
洗い,あらい
有り難う,ありがとう
行く,いく
行こう,いこう
以降,いこう
何時も,いつも
要る,いる
色々,いろいろ
印刷,いんさつ
植える,うえる
埋める,うめる
海の幸,うみのさち
占い,うらない
大雨,おおあめ
多い,おおい
大きい,おおきい
お金,おかね
教える,おしえる
遅く,おそく
遅い,おそい
誕生日,たんじょうび
お疲れ様,おつかれさま
落ちる,おちる
同じ,おなじ
お願い,おねがい
お早う,おはよう
汚物,おぶつ
お土産,おみやげ
思う,おもう
オンライン島,おんじま
オン島,おんじま
会員,かいいん
改札,かいさつ
開発,かいはつ
開発者,かいはつしゃ
改造,かいぞう
改造者,かいぞうしゃ
帰る,かえる
会社,かいしゃ
会話,かいわ
書く,かく
家具,かぐ
額縁,がくぶち
菓子,かし
風邪,かぜ
化石,かせき
学校,がっこう
画面,がめん
火曜日,かようび
可愛い,かわいい
漢字,かんじ
黄色,きいろ
聞く,きく
危険,きけん
寄贈,きぞう
汚い,きたない
切る,きる
着る,きる
喫茶店,きっさてん
来て,きて
協力,きょうりょく
強力,きょうりょく
記念日,きねんび
希望,きぼう
昨日,きのう
今日,きょう
金額,きんがく
金道具,きんどうぐ
銀道具,ぎんどうぐ
金庫,きんこ
金曜日,きんようび
臭い,くさい
靴屋,くつや
配る,くばる
訓練,くんれん
計画,けいかく
計画書,けいかくしょ
掲示板,けいじばん
警報,けいほう
血圧,けつあつ
血液,けつえき
血液,けつえきがた
月曜日,げつようび
健康,けんこう
交換,こうかん
効率,こうりつ
効率的,こうりつてき
子供,こども
国立,こくりつ
今日は,こんにちは
今晩は,こんばんは
才能,さいのう
最近,さいきん
探す,さがす
探し物,さがしもの
探して,さがして
探した,さがした
砂金,さきん
作成,さくせい
作成中,さくせいちゅう
先に,さきに
作業,さぎょう
作業着,さぎょうぎ
雑魚,ざこ
流石,さすが
作家,さっか
雑草,ざっそう
触る,さわる
残念,ざんねん
司会,しかい
司会者,しかいしゃ
死活,しかつ
質問,しつもん
時間,じかん
仕事,しごと
支度,したく
閉める,しめる
地面,じめん
自由,じゆう
写真,しゃしん
社長,しゃちょう
邪魔,じゃま
住人,じゅうにん
準備,じゅんび
商店街,しょうてんがい
署名,しょめい
諸君,しょくん
新幹線,しんかんせん
申請,しんせい
親切,しんせつ
深夜,しんや
水中,すいちゅう
水道,すいどう
水道水,すいどうすい
水路,すいろ
水曜日,すいようび
少ない,すくない
助っ人,すけっと
素敵,すてき
座る,すわる
座れる,すわれる
座れ,すわれ
正式,せいしき
生物,せいぶつ
性格,せいかく
正確,せいかく
生活,せいかつ
生活保護,せいかつほご
生活費,せいかつひ
接続,せつぞく
接続先,せつぞくさき
選択,せんたく
掃除機,そうじき
掃除,そうじ
装着,そうちゃく
早朝,そうちょう
村長,そんちょう
村民,そんみん
大会,たいかい
大変,たいへん
体調,たいちょう
隊長,たいちょう
高い,たかい
出した,だした
出す,だす
出せ,だせ
経つ,たつ
立つ,たつ
立って,たって
宅急便,たっきゅうびん
楽しい,たのしい
楽しみ,たのしみ
食べる,たべる
食べた,たべた
食べたい,たべたい
貯める,ためる
代金,だいきん
小さい,ちいさい
大学,だいがく
大学院,だいがくいん
大学生,だいがくせい
通信,つうしん
通信エラー,つうしんえらー
追加,ついか
追放,ついほう
使う,つかう
使い,つかい
使い方,つかいかた
低木,ていぼく
鉄道,てつどう
手前,てまえ
天気,てんき
電車,でんしゃ
通る,とおる
止めろ,とめろ
友達,ともだち
土曜日,どようび
何時,なんじ
日曜日,にちようび
日本,にほん
任天堂,にんてんどう
寝落ち,ねおち
眠い,ねむい
飲む,のむ
配布,はいふ
配置,はいち
生える,はえる
計る,はかる
博物館,はくぶつかん
花火,はなび
花火大会,はなびたいかい
早く,はやく
晴れ,はれ
半数,はんすう
販売,はんばい
晩飯,ばんめし
美女,びじょ
美魔女,びまじょ
人々,ひとびと
美容室,びようしつ
昼寝,ひるね
